epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1082.27,0.54947,0.47906,1.00985,0.91169,0.87799,0.93792,0.79478,0.63986,0.47576,1.06019,0.00072543,0.00072543,0.00072543
73,1097.47,0.56624,0.47122,1.0155,0.91432,0.90995,0.93846,0.79966,0.62392,0.44693,1.05668,0.000721562,0.000721562,0.000721562
74,1112.46,0.56572,0.47592,1.0243,0.89974,0.89119,0.92469,0.7825,0.64871,0.51652,1.07006,0.000717695,0.000717695,0.000717695
75,1127.38,0.56263,0.48955,1.01835,0.92648,0.8846,0.94254,0.80315,0.61053,0.48562,1.03866,0.000713828,0.000713828,0.000713828
76,1141.97,0.547,0.4765,1.00193,0.88914,0.88447,0.91716,0.78036,0.64442,0.551,1.06077,0.000709961,0.000709961,0.000709961
77,1156.61,0.57158,0.46752,1.02434,0.92662,0.83908,0.93396,0.81449,0.61152,0.5083,1.05052,0.000706094,0.000706094,0.000706094
78,1171.19,0.56806,0.49444,1.02241,0.93487,0.84816,0.92414,0.80203,0.61424,0.5242,1.05636,0.000702227,0.000702227,0.000702227
79,1186.58,0.55075,0.45373,1.01261,0.93701,0.87176,0.93151,0.80699,0.59924,0.52076,1.03015,0.000698359,0.000698359,0.000698359
80,1201.51,0.55358,0.46127,1.01816,0.92842,0.86677,0.91313,0.79256,0.6103,0.53249,1.04724,0.000694492,0.000694492,0.000694492
81,1215.99,0.53865,0.4456,1.00772,0.93685,0.89232,0.9349,0.79393,0.64889,0.47639,1.07577,0.000690625,0.000690625,0.000690625
82,1230.68,0.54832,0.44871,1.00462,0.90388,0.89988,0.94103,0.80184,0.63805,0.45983,1.06647,0.000686758,0.000686758,0.000686758
83,1245.43,0.53801,0.44721,1.00364,0.92144,0.88384,0.931,0.80145,0.60584,0.51191,1.03841,0.000682891,0.000682891,0.000682891
84,1260.05,0.54532,0.44979,1.00405,0.88815,0.86228,0.91688,0.77898,0.63259,0.52549,1.05676,0.000679023,0.000679023,0.000679023
85,1275.63,0.5455,0.44909,1.0086,0.93666,0.85524,0.93733,0.81624,0.61107,0.48998,1.04598,0.000675156,0.000675156,0.000675156
86,1290.46,0.55455,0.45056,1.00603,0.91917,0.87738,0.93142,0.81739,0.6153,0.46727,1.04576,0.000671289,0.000671289,0.000671289
87,1305.06,0.53221,0.44598,1.00313,0.93111,0.88634,0.94428,0.81389,0.62246,0.4618,1.05336,0.000667422,0.000667422,0.000667422
